Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,139.300003,140.779999,139.110001,140.509995,138.026276,9346300
2021-07-19,140.320007,141.869995,138.809998,140.440002,137.957520,9544100
2021-07-20,140.440002,141.979996,139.639999,139.690002,137.220779,8136300
2021-07-21,139.949997,140.199997,138.990005,139.199997,136.739426,6954700
2021-07-22,137.289993,138.330002,136.710007,137.800003,136.215546,6013800
2021-07-23,137.479996,139.979996,137.080002,139.789993,138.182648,7906000
2021-07-26,139.619995,140.820007,139.220001,140.279999,138.667007,5925800
2021-07-27,140.149994,141.619995,140.000000,140.850006,139.230469,7075400
2021-07-28,140.669998,140.669998,138.710007,138.759995,137.164490,8520000
2021-07-29,139.759995,140.179993,138.729996,139.479996,137.876205,5430500
2021-07-30,142.000000,144.539993,141.550003,142.229996,140.594589,14393900
2021-08-02,141.770004,142.429993,140.800003,141.880005,140.248627,7009500
2021-08-03,141.860001,144.210007,141.520004,143.949997,142.294800,8455700
2021-08-04,143.039993,144.089996,142.350006,142.429993,140.792282,6628000
2021-08-05,143.350006,143.550003,141.470001,142.500000,140.861496,5363300
2021-08-06,143.029999,143.119995,141.220001,141.410004,139.784027,6030100
2021-08-09,141.949997,142.589996,141.699997,142.179993,140.545166,4743800
2021-08-10,141.910004,142.509995,141.660004,142.270004,140.634140,5253500
2021-08-11,142.740005,143.240005,142.470001,142.619995,140.980103,4205000
2021-08-12,143.149994,143.149994,142.350006,142.949997,141.306305,4956100
2021-08-13,142.949997,143.990005,142.690002,143.639999,141.988388,4888300
2021-08-16,143.669998,144.690002,143.380005,144.639999,142.976883,6040800
2021-08-17,144.399994,145.600006,143.889999,144.880005,143.214127,7577000
2021-08-18,144.699997,144.880005,143.179993,143.300003,141.652298,7162000
2021-08-19,143.160004,145.279999,143.160004,144.990005,143.322861,5787200
2021-08-20,145.250000,145.979996,144.779999,145.089996,143.421707,5273800
2021-08-23,144.289993,145.339996,144.229996,144.350006,142.690231,4522200
2021-08-24,144.009995,144.149994,142.979996,143.179993,141.533661,4560400
2021-08-25,143.070007,143.130005,142.250000,142.669998,141.029526,3861500
2021-08-26,142.559998,142.710007,141.470001,142.419998,140.782410,4749400
2021-08-27,142.479996,142.770004,141.639999,142.309998,140.673676,4741200
2021-08-30,142.600006,142.990005,142.050003,142.929993,141.286530,3845800
2021-08-31,143.039993,143.529999,142.050003,142.389999,140.752747,9642400
2021-09-01,142.330002,144.190002,142.229996,143.839996,142.186081,6214200
2021-09-02,143.970001,144.729996,143.580002,143.949997,142.294800,5392500
2021-09-03,143.759995,144.369995,143.520004,144.050003,142.393677,5466400
2021-09-07,144.320007,144.500000,143.289993,143.509995,141.859863,6520600
2021-09-08,143.080002,144.940002,143.009995,144.600006,142.937347,6897800
2021-09-09,144.570007,144.880005,143.649994,143.990005,142.334351,6354700
2021-09-10,144.059998,144.460007,143.320007,144.130005,142.472763,5749100
2021-09-13,144.850006,147.229996,144.850006,145.679993,144.004913,9952500
2021-09-14,146.130005,146.360001,144.949997,145.429993,143.757797,5831800
2021-09-15,145.350006,145.770004,144.740005,145.119995,143.451355,6237100
2021-09-16,144.839996,145.190002,142.820007,144.110001,142.452988,6142100
2021-09-17,144.369995,146.279999,144.229996,144.339996,142.680328,18737400
2021-09-20,144.220001,144.850006,141.970001,142.889999,141.246994,10238700
2021-09-21,142.979996,144.529999,142.880005,143.110001,141.464478,6651300
2021-09-22,143.820007,144.350006,142.860001,143.600006,141.948853,6332500
2021-09-23,144.059998,144.690002,143.490005,144.190002,142.532059,5171200
2021-09-24,143.800003,144.449997,143.089996,143.550003,141.899414,5009400
2021-09-27,143.149994,143.169998,141.520004,141.660004,140.031143,5749700
2021-09-28,141.050003,141.369995,139.559998,140.589996,138.973450,7015300
2021-09-29,140.270004,142.679993,140.179993,142.020004,140.387024,5460000
2021-09-30,142.639999,142.740005,139.529999,139.800003,138.192535,6934900
2021-10-01,139.929993,140.229996,138.320007,139.580002,137.975067,5587200
2021-10-04,139.389999,140.399994,137.600006,138.789993,137.194138,5816000
2021-10-05,138.800003,140.520004,138.720001,139.330002,137.727936,6902700
2021-10-06,138.990005,141.259995,138.619995,141.190002,139.566559,5332900
2021-10-07,141.750000,143.029999,141.750000,142.320007,140.683578,5334600
2021-10-08,142.289993,142.619995,141.039993,141.729996,140.100342,6131800
2021-10-11,142.369995,142.770004,141.770004,142.320007,140.683578,5995600
2021-10-12,142.600006,143.039993,141.699997,142.110001,140.475967,6734800
2021-10-13,142.399994,142.759995,141.029999,142.440002,140.802185,5689800
2021-10-14,142.830002,144.309998,142.809998,144.050003,142.393677,6777800
2021-10-15,144.520004,144.869995,143.679993,144.419998,142.759415,6923700
2021-10-18,143.550003,143.699997,142.100006,142.339996,140.703323,9119000
2021-10-19,139.080002,140.820007,138.800003,140.660004,139.042648,9555300
2021-10-20,140.149994,141.960007,139.850006,141.210007,139.586334,7352700
2021-10-21,140.860001,141.160004,139.179993,139.330002,138.581741,6545500
2021-10-22,139.389999,141.009995,139.320007,140.830002,140.073685,5265000
2021-10-25,140.410004,140.919998,139.050003,140.850006,140.093582,5382100
2021-10-26,141.619995,143.179993,141.240005,142.850006,142.082840,6234900
2021-10-27,143.139999,143.679993,141.690002,141.830002,141.068314,9643500
2021-10-28,141.889999,142.880005,141.710007,142.679993,141.913742,4538500
2021-10-29,142.160004,143.479996,142.020004,142.990005,142.222092,6239500
2021-11-01,143.360001,143.800003,142.490005,142.639999,141.873962,5038900
2021-11-02,142.720001,144.580002,142.279999,144.059998,143.286346,9954300
2021-11-03,144.130005,145.110001,143.520004,145.050003,144.271027,7620100
2021-11-04,142.839996,145.389999,142.339996,145.320007,144.539581,6402500
2021-11-05,145.440002,146.369995,144.800003,146.039993,145.255707,6062700
2021-11-08,145.500000,146.100006,144.020004,144.949997,144.171555,5854400
2021-11-09,145.029999,145.830002,144.580002,145.389999,144.609207,4873100
2021-11-10,145.740005,147.309998,145.589996,146.820007,146.031525,7334900
2021-11-11,146.860001,146.970001,146.210007,146.399994,145.613770,4096300
2021-11-12,146.740005,147.080002,145.979996,146.559998,145.772919,5687400
2021-11-15,147.029999,147.750000,146.470001,147.399994,146.608398,5510200
2021-11-16,147.389999,148.589996,147.009995,147.190002,146.399536,7603900
2021-11-17,146.970001,147.779999,146.419998,147.100006,146.310028,4900200
2021-11-18,147.039993,148.080002,146.509995,147.119995,146.329910,5509300
2021-11-19,147.949997,148.229996,146.789993,146.820007,146.031525,6274300
2021-11-22,146.970001,148.940002,146.830002,147.800003,147.006256,6625400
2021-11-23,147.830002,149.500000,147.669998,149.440002,148.637451,7912800
2021-11-24,148.770004,148.880005,147.679993,148.660004,147.861649,5665200
2021-11-26,148.580002,149.720001,147.309998,147.470001,146.678024,6299800
2021-11-29,147.789993,149.660004,146.789993,149.020004,148.219711,7113300
2021-11-30,147.809998,148.539993,144.119995,144.580002,143.803558,11696400
2021-12-01,144.850006,147.869995,144.850006,146.399994,145.613770,8313500
2021-12-02,147.009995,148.460007,146.940002,147.259995,146.469147,9468800
2021-12-03,148.020004,150.000000,147.660004,149.880005,149.075089,11200300
2021-12-06,150.190002,152.389999,150.190002,152.149994,151.332886,11935100
2021-12-07,151.949997,152.580002,151.270004,151.750000,150.935043,7913400
2021-12-08,151.669998,152.660004,150.279999,152.429993,151.611389,8329300
2021-12-09,152.309998,154.190002,151.600006,153.320007,152.496628,8334300
2021-12-10,153.850006,155.800003,153.429993,155.460007,154.625122,7171800
2021-12-13,155.300003,158.330002,154.910004,157.669998,156.823257,8944000
2021-12-14,157.899994,158.630005,156.660004,158.250000,157.400131,8677500
2021-12-15,157.639999,159.639999,157.639999,158.860001,158.006866,9152600
2021-12-16,158.729996,161.320007,158.419998,161.110001,160.244781,10852900
2021-12-17,160.660004,161.720001,157.309998,157.460007,156.614380,24349400
2021-12-20,156.600006,158.460007,156.570007,157.860001,157.012238,9202600
2021-12-21,157.649994,158.149994,156.789993,157.759995,156.912766,6946000
2021-12-22,157.770004,159.580002,157.270004,159.320007,158.464401,6626300
2021-12-23,159.500000,160.919998,159.440002,160.100006,159.240204,5640900
2021-12-27,160.669998,161.990005,160.610001,161.970001,161.100159,4548600
2021-12-28,161.960007,163.380005,161.940002,162.839996,161.965485,5929400
2021-12-29,163.210007,164.979996,163.080002,164.190002,163.308243,5346100
2021-12-30,164.399994,164.589996,162.610001,162.770004,161.895874,5911500
